,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Principal Manufacturing Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Manufacturing Output In Manufacturing By Industry, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 22/05/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ECONOMIC DEVELOPMENT BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
  Rubber & Plastic Products,2076.9,1956.9,2113,2002.7,1752.4,1775.2,1810.5,1742.5,1699.2,1699.7,1825.9,1847.2,1901.1,1991.8,2154.7,1966.6,2385.4,2541.5,2718.7,2674.9,2678.6,2720.4,2838.2,2639,3345.8,2673.5,2445.6,2674.1,2620.9,2610.9,2296.1,2036.2,1771.6,1787.3,1587.5,1528.4,1386.6,968.4,712.5,712.2,786.8,693.7,641.9,656.1,644.7
  Non-Metallic Mineral Products,2019.8,1960.2,1825,1611.7,1123.1,1635.5,1531.2,1505.3,1636.7,1970.2,2045.8,2485.4,2355.3,2032.1,1770.2,1833,2108.4,1883.6,1445.9,1274.6,1351.3,1315.2,1329.3,1270.8,1664.3,1717.1,2156.2,2673.5,2418.3,2112.9,2048.2,1867.3,1604.7,1433.6,1131.5,935.7,749,755.7,881.7,1035.1,1292.2,1413.2,1092.2,932.8,685.1
  Basic Metal,1365.3,1482.2,1720.6,1680.9,1131.6,1249.2,1322.4,1234.6,1205.3,1270.3,1484.2,1155.3,1348.7,1395.8,1220.2,1081.2,1769.9,1442,1293.9,1068.6,822.6,577.7,631.5,574.5,552.7,585.7,571.6,700.7,735.7,792.4,864.1,890.7,825.8,835.3,898.2,816.5,745.5,617.3,666.8,595.8,560.3,501.5,520.5,483.2,535.1
  Fabricated Metal Products,8065.7,8161.9,8986.1,7828.3,7078,7721.8,7737.3,7770.6,7924.5,8500,9250.4,9200.9,9403.5,9063.2,9005.2,8733.7,9465.2,8785.3,8344.5,7376.4,7140.3,6378.9,6395.3,6065.6,7274.9,6474.8,6393.8,6504.8,6262.4,6243.3,5520.2,4567.9,4091.4,3819.5,3422.3,3168.8,2671.9,2057,1665.5,1586.9,1772.2,1694,1538.2,1414,1215.8
"  Computer, Electronic & Optical Products",183348.1,174171.2,198169.6,171833.8,139041.1,136272.3,139570.9,123729.5,96336.5,94456.6,84381.9,88991.7,86923.1,89546.2,95890.9,74716.8,73819,77449.1,75791.6,78289.6,72527.4,62199.3,62553.5,63005.8,84011.6,70767.9,62560.8,64454.9,62346.8,59123.1,49757.3,40625.4,32706.7,29545.6,28476.1,25049.1,21886.9,16780.4,11533.6,9226.2,9621.3,6928,5061.7,5628.1,5424.6
  Electrical Equipment,3465,3779.8,4326.6,3798.6,3414.3,3706.8,3564.3,3070.6,2761.2,2573.3,2600.9,2436,2438.3,2313,2295,2462.5,3108.7,2999.8,2760.7,2403,2267.6,1853.3,1914.6,2028.2,2385,2196.5,2422.7,3036.2,3100,3372.4,2896.1,2418.3,2297.5,2301.8,2123.4,2262.2,1956.5,1658.2,1316.8,1232.6,1384.7,1163.6,982.4,1045.4,965.2
  Machinery & Equipment,40864.8,39495.4,40995.6,34906.5,26858.4,27281.8,30780.7,26117.5,22454.4,27242.9,30919.9,26847.3,26445.7,23563.5,20520.1,18346.4,19742.6,18479.3,13745.6,11433.4,9554.8,7952.3,7748.8,6709.7,7351.6,5906.1,6074.8,6736,6244.3,5802.2,4897.9,4286.6,4457.9,4431.7,4154.9,3888.7,3281.3,2499.1,2055.5,2186.3,2418.3,2427.1,2925.4,2935.4,1996.3
"  Motor Vehicles, Trailers & Semi-Trailers",1364.6,1517.8,1394.6,1388.5,1231.2,1391.7,1465.9,1419.3,1219.5,1158.7,1053.6,996.1,786.8,753.9,705.5,559.1,612,743,785,763.6,793.3,838.7,180.1,162.9,227.1,195,120.9,142,141.1,147.5,123,130.5,116.3,112,102.4,92.5,95.5,59.4,66.5,84.3,85.2,81.6,86.1,81.4,128.5
  Other Transport Equipment,24927,21571,18147.8,14812.2,13592.3,16690.5,14532.4,15360.4,15741.5,15534,16484.2,16548.1,16206.7,14515.6,14287.2,14820.9,15548.7,13502.8,12945.6,10170.1,8481.9,7232.7,7628.7,6781.2,5489.9,5557.6,5629.5,4970,4643.9,5002.3,4899.8,4445.9,4281.7,3902.4,3710.4,3083.7,2644.6,2026.9,1728.6,1702.7,1865.5,1782.7,1982.5,2133.8,1919.3
  Furniture,689.8,738,712.7,689.5,563.1,743.6,771.9,875.1,813.6,879.3,898.5,961.6,886.2,840.6,848.8,756.6,666.9,484,461,486.9,515.1,564.4,610.1,489.4,543.6,504.3,553.7,666.9,653,650.2,679.4,668.7,584.3,568.9,567.6,544.9,518.5,419.1,392.7,405.4,403.4,336.4,328.8,347.2,279.2
